league_id,team_id,Team Name,player_api_id,player_name,Player Rating,Finishing,Acceleration,Interceptions,Marking,Positioning
24558,7730,GFC Ajaccio,41708,Fabio Coltorti,73,25,64,62,25,67
24558,7730,GFC Ajaccio,35680,Gabri,74,41,69,81,75,82
24558,7730,GFC Ajaccio,33424,Matt Moussilou,75,83,85,70,32,70
13274,7788,GFC Ajaccio,484858,Albert Rusnak,74,66,85,26,35,70
13274,7788,GFC Ajaccio,25551,Bartholomew Ogbeche,75,78,82,63,31,76
13274,7788,GFC Ajaccio,37684,Daniel de Ridder,73,69,78,70,51,76
13274,7788,GFC Ajaccio,240346,Elvis Manu,73,72,90,26,22,74
13274,7788,GFC Ajaccio,46079,Etienne Reijnen,73,25,59,78,70,58
4769,7794,GFC Ajaccio,210164,Alphonse Areola,80,25,54,28,25,25
4769,7794,GFC Ajaccio,33418,Djibril Cisse,84,87,92,56,25,81
4769,7794,GFC Ajaccio,32578,Jerome Rothen,85,72,80,87,69,79
4769,7794,GFC Ajaccio,30742,Mickael Landreau,85,25,61,75,25,25
4769,7794,GFC Ajaccio,31314,Milos Krasic,84,77,91,78,49,84
4769,7819,SV Darmstadt 98,26275,Alexis Thebaux,77,25,65,45,25,40
4769,7819,SV Darmstadt 98,26149,Gregory Tafforeau,78,49,88,83,84,70
4769,7819,SV Darmstadt 98,46757,Julien Feret,79,75,81,71,55,75
4769,7819,SV Darmstadt 98,46241,Mbaye Niang,77,75,84,53,38,75
4769,7819,SV Darmstadt 98,319300,N'Golo Kante,79,67,81,90,73,68
17642,7841,SV Darmstadt 98,88521,Alberto Rodriguez,78,50,77,83,81,75
17642,7841,SV Darmstadt 98,29590,Fabio Coentrao,82,69,86,80,77,77
17642,7841,SV Darmstadt 98,40958,Helder Postiga,79,77,83,73,27,83
17642,7841,SV Darmstadt 98,177126,Jan Oblak,82,25,43,25,25,25
17642,7841,SV Darmstadt 98,280350,Marcelo,77,24,73,80,78,24
17642,7842,SV Darmstadt 98,172888,Bruno Cesar,79,78,81,63,47,75
17642,7842,SV Darmstadt 98,174062,Carlos Eduardo,76,64,75,63,49,76
17642,7842,SV Darmstadt 98,19264,Evandro Goebel,76,78,78,72,70,77
17642,7842,SV Darmstadt 98,132898,Jefferson Nascimento,79,61,85,75,78,77
17642,7842,SV Darmstadt 98,171935,Kleber Pinheiro,77,81,76,31,27,80
17642,7842,SV Darmstadt 98,267383,Leo Bonatini,76,81,80,23,22,77
17642,7842,SV Darmstadt 98,96838,Lica,77,74,83,55,44,76
17642,7844,SV Darmstadt 98,164333,Andre Andre,80,75,76,79,63,82
17642,7844,SV Darmstadt 98,164238,Andre Santos,77,62,78,78,73,72
17642,7844,SV Darmstadt 98,106013,Bakary Sare,77,62,72,78,75,58
17642,7844,SV Darmstadt 98,30577,Custodio,77,66,75,80,77,72
17642,7844,SV Darmstadt 98,101070,Gregory Arnolin,78,52,66,82,73,70
17642,7844,SV Darmstadt 98,96838,Lica,77,74,83,55,44,76
17642,7844,SV Darmstadt 98,40946,Marco Matias,77,78,89,37,26,80
21518,7869,SV Darmstadt 98,193937,Bruno Zuculini,74,69,84,74,72,77
21518,7869,SV Darmstadt 98,143795,Fausto Rossi,75,54,76,73,72,67
21518,7869,SV Darmstadt 98,474680,Federico Nicolas Cartabia,74,65,83,53,45,69
21518,7869,SV Darmstadt 98,184114,Heldon,75,74,86,31,27,74
21518,7869,SV Darmstadt 98,37434,Iago Bouzon,79,57,75,74,85,69
21518,7869,SV Darmstadt 98,282060,Matos,74,78,80,31,25,78
21518,7869,SV Darmstadt 98,301809,Nabil Ghilas,78,78,76,43,29,79
21518,7878,SV Darmstadt 98,104986,Andres Fernandez,79,25,68,55,25,25
21518,7878,SV Darmstadt 98,37548,Carlos Martins,79,73,76,75,61,76
21518,7878,SV Darmstadt 98,49836,Fabian Orellana,80,75,87,68,25,75
21518,7878,SV Darmstadt 98,38044,Ikechukwu Uche,81,87,87,52,26,79
21518,7878,SV Darmstadt 98,301456,Jeison Murillo,79,37,72,78,80,45
21518,7878,SV Darmstadt 98,43375,Mikel Rico,79,75,71,82,60,74
24558,7896,SV Darmstadt 98,41975,Alex Valentini,66,25,47,25,25,25
24558,7896,SV Darmstadt 98,8893,Antoine Rey,65,35,52,75,52,50
24558,7896,SV Darmstadt 98,186948,Antonini Culina,64,68,74,41,25,53
24558,7896,SV Darmstadt 98,408104,Christos Donis,65,56,70,56,63,58
24558,7896,SV Darmstadt 98,8881,Marco Padalino,75,68,85,74,60,74
10257,7943,SV Darmstadt 98,39170,Andrea Consigli,80,25,62,57,25,65
10257,7943,SV Darmstadt 98,364520,Domenico Berardi,81,80,87,28,25,80
10257,7943,SV Darmstadt 98,41497,Federico Peluso,78,48,77,82,79,62
10257,7943,SV Darmstadt 98,73024,Francesco Acerbi,79,37,69,84,83,25
10257,7943,SV Darmstadt 98,39376,Matteo Brighi,79,76,81,76,79,75
1,7947,SV Darmstadt 98,39153,Cedric Berthelin,65,25,33,25,25,25
1,7947,SV Darmstadt 98,178291,David Destorme,68,67,61,71,34,73
