league_id,season,team_api_id,team_long_name,avg_home_goals_team,avg_home_goals_league,avg_away_goals_team,avg_away_goals_league
1729,2013/2014,8650,Liverpool,2.79,1.45,2.53,0.75
1729,2013/2014,8456,"Manchester City",3.32,1.45,2.05,0.75
1729,2013/2014,9850,"Norwich City",0.89,1.45,0.58,0.75
1729,2013/2014,8472,Sunderland,1.11,1.45,1.05,0.75
1729,2013/2014,10003,"Swansea City",1.74,1.45,1.11,0.75
1729,2013/2014,8659,"West Bromwich Albion",1.26,1.45,1.00,0.75
1729,2013/2014,8654,"West Ham United",1.32,1.45,0.79,0.75
1729,2013/2014,8344,"Cardiff City",1.05,1.45,0.63,0.75
1729,2013/2014,8668,Everton,2.00,1.45,1.21,0.75
1729,2013/2014,9879,Fulham,1.26,1.45,0.84,0.75
1729,2013/2014,8667,"Hull City",1.05,1.45,0.95,0.75
1729,2013/2014,10261,"Newcastle United",1.21,1.45,1.05,0.75
1729,2013/2014,10194,"Stoke City",1.42,1.45,0.95,0.75
1729,2013/2014,10252,"Aston Villa",1.16,1.45,0.89,0.75
1729,2013/2014,10260,"Manchester United",1.53,1.45,1.84,0.75
1729,2013/2014,8466,Southampton,1.68,1.45,1.16,0.75
1729,2013/2014,8586,"Tottenham Hotspur",1.58,1.45,1.32,0.75
1729,2014/2015,9825,Arsenal,2.16,1.45,1.58,1.25
1729,2014/2015,8191,Burnley,0.74,1.45,0.74,1.25
1729,2014/2015,8197,"Leicester City",1.47,1.45,0.95,1.25
1729,2014/2015,8650,Liverpool,1.58,1.45,1.16,1.25
1729,2014/2015,10260,"Manchester United",2.16,1.45,1.11,1.25
1729,2014/2015,10261,"Newcastle United",1.37,1.45,0.74,1.25
1729,2014/2015,10172,"Queens Park Rangers",1.21,1.45,1.00,1.25
1729,2014/2015,10194,"Stoke City",1.68,1.45,0.84,1.25
1729,2014/2015,8659,"West Bromwich Albion",1.26,1.45,0.74,1.25
1729,2014/2015,8654,"West Ham United",1.32,1.45,1.00,1.25
1729,2014/2015,10252,"Aston Villa",0.95,1.45,0.68,1.25
1729,2014/2015,8455,Chelsea,1.89,1.45,1.95,1.25
1729,2014/2015,9826,"Crystal Palace",1.11,1.45,1.37,1.25
1729,2014/2015,8668,Everton,1.42,1.45,1.11,1.25
1729,2014/2015,8667,"Hull City",1.00,1.45,0.74,1.25
1729,2014/2015,8456,"Manchester City",2.32,1.45,2.05,1.25
1729,2014/2015,8466,Southampton,1.95,1.45,0.89,1.25
1729,2014/2015,8472,Sunderland,0.84,1.45,0.79,1.25
1729,2014/2015,10003,"Swansea City",1.42,1.45,1.00,1.25
1729,2014/2015,8586,"Tottenham Hotspur",1.63,1.45,1.42,1.25
1729,2015/2016,9825,Arsenal,1.63,1.45,1.79,1.40
1729,2015/2016,8678,Bournemouth,1.21,1.45,1.16,1.40
1729,2015/2016,8455,Chelsea,1.68,1.45,1.42,1.40
1729,2015/2016,8668,Everton,1.84,1.45,1.26,1.40
1729,2015/2016,8197,"Leicester City",1.84,1.45,1.74,1.40
1729,2015/2016,10260,"Manchester United",1.42,1.45,1.16,1.40
1729,2015/2016,10261,"Newcastle United",1.68,1.45,0.63,1.40
1729,2015/2016,9850,"Norwich City",1.37,1.45,0.68,1.40
1729,2015/2016,10194,"Stoke City",1.16,1.45,1.00,1.40
1729,2015/2016,8659,"West Bromwich Albion",1.05,1.45,0.74,1.40
1729,2015/2016,10252,"Aston Villa",0.74,1.45,0.68,1.40
1729,2015/2016,8650,Liverpool,1.74,1.45,1.58,1.40
1729,2015/2016,8472,Sunderland,1.21,1.45,1.32,1.40
1729,2015/2016,8654,"West Ham United",1.79,1.45,1.63,1.40
1729,2015/2016,9826,"Crystal Palace",1.00,1.45,1.05,1.40
1729,2015/2016,8456,"Manchester City",2.47,1.45,1.26,1.40
1729,2015/2016,8466,Southampton,2.05,1.45,1.05,1.40
1729,2015/2016,10003,"Swansea City",1.05,1.45,1.16,1.40
1729,2015/2016,8586,"Tottenham Hotspur",1.84,1.45,1.79,1.40
1729,2015/2016,9817,Watford,1.05,1.45,1.05,1.40
4769,2008/2009,8583,"AJ Auxerre",0.95,1.34,0.89,0.90
4769,2008/2009,9827,"Girondins de Bordeaux",1.89,1.34,1.47,0.90
4769,2008/2009,9746,"Le Havre AC",0.89,1.34,0.68,0.90
4769,2008/2009,8682,"Le Mans FC",0.95,1.34,1.32,0.90
4769,2008/2009,9748,"Olympique Lyonnais",1.68,1.34,1.05,0.90
4769,2008/2009,9829,"AS Monaco",1.37,1.34,0.79,0.90
4769,2008/2009,8481,"AS Nancy-Lorraine",1.00,1.34,1.00,0.90
4769,2008/2009,9851,"Stade Rennais FC",1.47,1.34,0.74,0.90
4769,2008/2009,9874,"FC Sochaux-Montbéliard",1.26,1.34,0.84,0.90
4769,2008/2009,9873,"Valenciennes FC",1.42,1.34,0.42,0.90
4769,2008/2009,8639,"LOSC Lille",1.79,1.34,0.89,0.90
4769,2008/2009,8689,"FC Lorient",1.11,1.34,1.37,0.90
4769,2008/2009,8592,"Olympique de Marseille",1.84,1.34,1.68,0.90
4769,2008/2009,9831,"OGC Nice",1.16,1.34,0.95,0.90
4769,2008/2009,9853,"AS Saint-Étienne",1.32,1.34,0.79,0.90
4769,2008/2009,9941,"Toulouse FC",1.37,1.34,1.00,0.90
4769,2008/2009,7819,"SM Caen",1.16,1.34,1.05,0.90
4769,2008/2009,9855,"Grenoble Foot 38",0.47,1.34,0.79,0.90
4769,2008/2009,9830,"FC Nantes",1.11,1.34,0.63,0.90
4769,2008/2009,9847,"Paris Saint-Germain",1.53,1.34,1.05,0.90
4769,2009/2010,8583,"AJ Auxerre",1.26,1.34,0.95,1.10
4769,2009/2010,9827,"Girondins de Bordeaux",1.79,1.34,1.26,1.10
