team_api_id,league_id,name,team_long_name,Build Up Play Speed,Build Up Play Dribbling,Build Up Play Passing,Chance Creation Passing,Chance Creation Crossing,Chance Creation Shooting,Defence Pressure,Defence Aggression,Defence Team Width
8152,7809,Germany 1. Bundesliga,FC St. Pauli,55.17,17.33,55.67,60.83,51.83,50.67,48.67,51,56.17
8406,7809,Germany 1. Bundesliga,FC Augsburg,54.83,14.83,53.17,45.83,64.67,60.17,44.17,51.67,51
8194,7809,Germany 1. Bundesliga,Fortuna Düsseldorf,57.17,21.83,48.83,59,57.17,50.83,45.67,56.5,47.83
8357,7809,Germany 1. Bundesliga,SpVgg Greuther Fürth,59.83,20,45.67,50.67,51,50.83,46.67,52.83,56.67
9776,7809,Germany 1. Bundesliga,Eintracht Braunschweig,64.75,26,56,58.75,58.5,58.75,49.5,44,48.25
8460,7809,Germany 1. Bundesliga,SC Paderborn 07,66,15.33,55.33,51.83,43.83,60.83,32.83,47.33,47.17
8234,7809,Germany 1. Bundesliga,FC Ingolstadt 04,53.2,22,47.8,49.6,48.6,50.2,36.4,43.6,49.8
8262,7809,Germany 1. Bundesliga,SV Darmstadt 98,59,43,77,52,77,45,32,56,41
8524,10257,Italy Serie A,Atalanta,55.33,15,41.67,42,48.17,52.17,42.67,51.5,52.83
8551,10257,Italy Serie A,Siena,44.8,9.8,45.2,49.6,53.6,52.8,41.2,50.6,52.4
8529,10257,Italy Serie A,Cagliari,56.33,13.83,42.33,52.17,51.67,57.17,46.33,53.67,53.33
8543,10257,Italy Serie A,Lazio,55.5,22.33,49.67,61.5,53.33,63.5,52,52.83,54.67
8530,10257,Italy Serie A,Catania,58.67,17.33,41.33,50.5,50.17,49.5,31.83,58,48.5
10233,10257,Italy Serie A,Genoa,62.83,17.33,51.5,61.33,50.83,47.67,39.17,52.67,45.67
8533,10257,Italy Serie A,Chievo Verona,58,18,57.67,48.33,53.83,55.83,34.83,60.33,53.17
8690,10257,Italy Serie A,Reggio Calabria,52.8,11,44.4,44.8,54.6,55.4,38.2,48.2,50.8
8535,10257,Italy Serie A,Fiorentina,47,18,41.17,60.83,53.83,54.83,49.67,47.5,56.5
9885,10257,Italy Serie A,Juventus,45.83,13.67,32.83,56.67,60.5,65.67,44,57.33,41.17
8564,10257,Italy Serie A,Milan,49.83,23.33,48,58.83,41.67,63,48.17,48.83,51.83
9857,10257,Italy Serie A,Bologna,59.83,17.67,47.33,35.5,49.83,55.33,36.83,46,49
8686,10257,Italy Serie A,Roma,63.67,12.5,40,68.83,56.33,60.5,42.83,47.17,50.83
9875,10257,Italy Serie A,Napoli,62.17,24,39.67,62,59,60.5,49.5,61.33,47.5
9882,10257,Italy Serie A,Sampdoria,42.17,18.67,40.67,46.17,54.33,45.67,47.33,46.5,55
8636,10257,Italy Serie A,Inter,57.83,19.5,57.17,59.5,56.83,64.17,40.17,56.33,46.67
9804,10257,Italy Serie A,Torino,59.33,23,42.67,44.67,59.17,52.33,40.33,41.83,52.67
9888,10257,Italy Serie A,Lecce,45,0,43.33,48.33,56.67,52.33,31.67,60,60
8600,10257,Italy Serie A,Udinese,71,20.83,53,61.33,64.83,54.33,40.67,49.33,55.17
8540,10257,Italy Serie A,Palermo,64.33,20.17,39.17,50.33,38.67,62.5,42.5,45.33,51
9976,10257,Italy Serie A,Bari,51.17,13.33,49,48.83,46.83,57.33,48,45.5,54
8537,10257,Italy Serie A,Livorno,53.17,19.33,53.17,37.17,42,63.17,38,49.67,36.83
10167,10257,Italy Serie A,Parma,44.83,22.83,32.33,53.67,61,53.33,45.17,45.67,51.33
9880,10257,Italy Serie A,Cesena,58.67,10,41,46.5,41.17,65.33,39.5,46.17,53.5
9858,10257,Italy Serie A,Brescia,36.83,18.67,38,43.33,38.83,69.83,41.33,46,56
6269,10257,Italy Serie A,Novara,60,14.25,50.75,53,56,54.25,41.75,48.5,51.25
9878,10257,Italy Serie A,Pescara,59.6,16.6,50.8,50,52,46.2,37.8,49,44.8
9876,10257,Italy Serie A,Hellas Verona,57,18.75,49.75,45.75,53.75,55.25,42.5,55,50.5
7943,10257,Italy Serie A,Sassuolo,50.17,22.67,51.67,51.33,53,58.83,40,41,42
8534,10257,Italy Serie A,Empoli,51.67,14.33,40.67,51.33,52.5,56,41.33,48.83,48
9891,10257,Italy Serie A,Frosinone,54.33,16,41.33,42.33,46.67,60,48.67,51.33,59
208931,10257,Italy Serie A,Carpi,56,45.5,48,58.5,38,52,35.5,49.5,43
8277,13274,Netherlands Eredivisie,Vitesse,42,15.83,39,53.83,46,59.83,45.17,50.17,52.33
8674,13274,Netherlands Eredivisie,FC Groningen,47.17,12.33,41.5,51,59,52.33,44.83,43.67,48.5
9803,13274,Netherlands Eredivisie,Roda JC Kerkrade,47,9.2,45.2,47.6,43.2,51.4,42.2,42.4,42.2
8611,13274,Netherlands Eredivisie,FC Twente,38.5,13.17,38,49.5,57.17,44.33,45.83,47.17,52.5
8525,13274,Netherlands Eredivisie,Willem II,51.5,9,51.25,49,48.25,53,36,43.25,46.5
8593,13274,Netherlands Eredivisie,Ajax,35.17,13.83,33.83,50.67,58.5,49.67,59.83,53.83,54.33
8464,13274,Netherlands Eredivisie,N.E.C.,44,8.4,42.8,45.2,51.8,50.8,38.6,45.6,44
8526,13274,Netherlands Eredivisie,De Graafschap,33.5,0,40.5,45,42.5,64,47,44,45.5
9908,13274,Netherlands Eredivisie,FC Utrecht,50.83,14.83,50,48,56.67,55.17,42.17,48.67,42
8640,13274,Netherlands Eredivisie,PSV,52.33,13,38.33,50.17,54.5,54,43.83,41.5,48.83
9791,13274,Netherlands Eredivisie,Heracles Almelo,46.17,15.17,40.33,43.67,54.83,58,44.33,51,42
10235,13274,Netherlands Eredivisie,Feyenoord,43.83,12.17,44.83,48.5,52.33,43.17,41.67,44,42.83
8614,13274,Netherlands Eredivisie,Sparta Rotterdam,35,0,40,30,45,65,30,30,30
10217,13274,Netherlands Eredivisie,ADO Den Haag,45.5,14.5,50,49.67,56,50.17,45.5,51.33,52.17
